Year,Date,MVP
2021,14-Feb-21,
2020,16-Feb-20,
2019,17-Feb-19,
2018,18-Feb-18,LeBron James
2017,19-Feb-17,Anthony Davis
2016,14-Feb-16,Russell Westbrook
2015,15-Feb-15,Russell Westbrook
2014,16-Feb-14,Kyrie Irving
2013,17-Feb-13,Chris Paul
2012,26-Feb-12,Kevin Durant
2011,20-Feb-11,Kobe Bryant
2010,14-Feb-10,Dwyane Wade
2009,15-Feb-09,"Kobe Bryant, Shaquille O'Neal"
2008,17-Feb-08,LeBron James
2007,18-Feb-07,Kobe Bryant
2006,19-Feb-06,LeBron James
2005,20-Feb-05,Allen Iverson
2004,15-Feb-04,Shaquille O'Neal
2003,9-Feb-03,Kevin Garnett
2002,10-Feb-02,Kobe Bryant
2001,11-Feb-01,Allen Iverson
2000,13-Feb-00,"Tim Duncan, Shaquille O'Neal"
1998,8-Feb-98,Michael Jordan
1997,9-Feb-97,Glen Rice
1996,11-Feb-96,Michael Jordan
1995,12-Feb-95,Mitch Richmond
1994,13-Feb-94,Scottie Pippen
1993,21-Feb-93,"Karl Malone, John Stockton"
1992,9-Feb-92,Magic Johnson
1991,10-Feb-91,Charles Barkley
1990,11-Feb-90,Magic Johnson
1989,12-Feb-89,Karl Malone
1988,7-Feb-88,Michael Jordan
1987,8-Feb-87,Tom Chambers
1986,9-Feb-86,Isiah Thomas
1985,10-Feb-85,Ralph Sampson
1984,29-Jan-84,Isiah Thomas
